model,method,cot,average_success_rate,error,average_success_rate_blocksworld,error_blocksworld,average_success_rate_igibson,error_igibson
InternVL3 8B,vila,yes,0.08,0.0177888854,0.0133333333,0.0130639453,0.1466666667,0.0330924631
Qwen3-VL 8B,vila,yes,0.0733333333,0.0202210012,0.0,0.0,0.1466666667,0.0404420024
Qwen2.5-VL 7B,vila,no,0.0733333333,0.0207417989,0.0266666667,0.0180862133,0.12,0.0373333333
Gemma-3 27B,predicate,yes,0.0733333333,0.0195959179,0.1066666667,0.0326598632,0.04,0.0216641024
GPT-4.1 Nano,predicate,yes,0.0666666667,0.0172819752,0.12,0.032,0.0133333333,0.0130639453
Mistral-Small-3.1 24B,predicate,no,0.0666666667,0.0163299316,0.1333333333,0.0326598632,0.0,0.0
AyaVision 32B,vila,no,0.06,0.016,0.0,0.0,0.12,0.032
InternVL3 8B,predicate,no,0.06,0.0168654809,0.1066666667,0.0310984101,0.0133333333,0.0130639453
Gemma-3 27B,predicate,no,0.06,0.0184752086,0.0666666667,0.0266666667,0.0533333333,0.0255777681
InternVL3.5 8B,vila,yes,0.06,0.016,0.0,0.0,0.12,0.032
Gemma-3 12B,predicate,yes,0.0466666667,0.0163299316,0.0533333333,0.0244404037,0.04,0.0216641024
Qwen2.5-VL 7B,vila,yes,0.0466666667,0.0156631202,0.0133333333,0.0130639453,0.08,0.0284722087
InternVL3 8B,vila,no,0.0466666667,0.016653328,0.0133333333,0.0130639453,0.08,0.0306376674
Gemma-3 12B,predicate,no,0.0333333333,0.0138564065,0.0133333333,0.0130639453,0.0533333333,0.0244404037
InternVL3.5 30B A3B,vila,yes,0.0333333333,0.0141106737,0.0266666667,0.0180862133,0.04,0.0216641024
GPT-4.1 Nano,vila,no,0.0266666667,0.0129271463,0.0133333333,0.0130639453,0.04,0.022310934
Qwen2.5-VL 7B,predicate,yes,0.0266666667,0.0129271463,0.0266666667,0.0180862133,0.0266666667,0.0184752086
InternVL3 8B,predicate,yes,0.0266666667,0.0127888841,0.0266666667,0.0180862133,0.0266666667,0.0180862133
GPT-4.1 Nano,predicate,no,0.0266666667,0.0126491106,0.04,0.0216641024,0.0133333333,0.0130639453
DeepSeek-VL2,predicate,no,0.02,0.0108320512,0.0,0.0,0.04,0.0216641024
AyaVision 32B,predicate,no,0.0133333333,0.0092376043,0.0133333333,0.0130639453,0.0133333333,0.0130639453
AyaVision 32B,predicate,yes,0.0133333333,0.0092376043,0.0133333333,0.0130639453,0.0133333333,0.0130639453
AyaVision 8B,vila,yes,0.0133333333,0.0092376043,0.0133333333,0.0130639453,0.0133333333,0.0130639453
LLaVA-Onevision 72B,predicate,yes,0.0133333333,0.0092376043,0.0133333333,0.0130639453,0.0133333333,0.0130639453
